#MPI_Ssend		
#size[kB]	bandwidth[Mb/s]	bandwidth[Mb/s]
1	19.371977	12.916064
2	22.633249	18.155636
3	33.559143	24.068846
4	44.862015	35.251747
5	50.980873	38.364372
6	60.320591	46.25959
7	65.903229	52.821495
8	69.579071	59.129482
9	54.121563	67.141068
10	86.666023	69.31839
11	93.219444	74.268349
12	90.669518	77.884209
13	93.643913	82.321983
14	99.818184	89.859657
15	109.339027	91.932999
16	108.867355	95.7631
17	94.082008	97.499863
18	115.245544	104.221909
19	120.402679	106.562943
20	121.365112	107.468689
21	129.562653	112.173485
22	129.012482	114.318878
23	130.391922	117.585327
24	137.500519	121.814346
25	134.617599	122.316124
26	139.923523	124.337151
27	137.956451	124.589088
28	140.921951	128.138626
29	143.027237	131.34845
30	146.925934	133.433624
31	154.963348	138.489807
32	153.06575	138.413086
33	153.208603	138.428894
34	156.655426	141.297287
35	162.53952	143.714005
36	161.812683	142.774551
37	164.730743	145.064423
38	167.531921	147.252396
39	168.203598	151.3741
40	170.519058	150.644684
41	171.167694	148.895691
42	173.901672	151.448578
43	170.461533	156.378647
44	171.083832	155.319
45	174.611069	158.763824
46	178.577057	156.88768
47	180.139648	156.655426
48	183.132584	158.352188
49	181.556183	159.283844
50	177.365128	159.402878
51	179.071869	160.667755
52	179.722443	161.910599
53	180.107925	164.043686
54	179.528778	159.365402
55	183.842972	165.846756
56	184.706314	166.533737
57	184.65773	167.723022
58	182.515884	163.200348
59	188.502747	166.534149
60	188.285797	168.569748
61	190.25238	171.524078
62	187.554367	170.609131
63	193.517212	171.61496
64	192.177444	173.692917
65	194.267639	175.363647
66	194.870575	175.324799
67	197.160858	175.500961
68	200.573074	180.550247
69	201.156616	179.729568
70	198.647675	176.659363
71	203.496109	180.097488
72	203.612671	183.60788
73	203.441208	186.435471
74	206.144135	186.174698
75	202.200424	183.32309
76	208.211395	186.568054
77	208.628891	189.739319
78	208.795975	188.60405
79	213.213364	193.130264
80	209.702881	189.665115
81	210.462601	58.096767
82	212.61554	55.580299
83	208.743622	56.528275
84	217.727432	57.749893
85	212.412842	57.661598
86	215.885345	58.838585
87	217.222961	59.284515
88	216.589066	59.372768
89	213.46254	58.003006
90	212.222473	58.472305
91	213.496628	59.294178
92	211.374084	60.106678
93	210.947128	60.184277
94	213.555466	61.668777
95	210.157318	61.052116
96	215.252716	62.874142
97	207.501678	63.607464
98	203.188538	64.147644
99	205.670807	64.863197
100	207.75824	63.914555
101	203.613174	65.942886
102	210.74826	67.042496
103	212.687912	67.357803
104	205.631744	67.961098
105	211.611099	68.780403
106	202.976624	69.245132
107	215.310165	69.970924
108	211.35173	70.837822
109	215.001831	71.580284
110	214.934067	71.334747
111	214.349579	74.833626
112	217.477524	77.725891
113	218.431854	76.523399
114	219.916153	76.978157
115	216.373001	79.102119
116	221.077042	81.030876
117	220.049835	79.574738
118	220.346802	82.873985
119	218.95668	84.403496
120	220.917511	85.223625
121	223.485535	88.180794
122	225.67189	86.950096
123	215.796204	87.090286
124	223.942245	88.469162
125	218.160187	88.066162
126	206.113876	89.341354
127	199.077255	91.604568
128	46.988152	47.767948
129	93.567696	54.732552
130	182.501694	179.831482
131	177.1651	186.73439
132	184.838577	175.024109
133	193.395966	192.733902
134	194.967377	196.174622
135	200.419373	180.972961
136	196.899734	192.416809
137	204.098282	195.629623
138	196.695557	197.764771
139	187.443619	192.456207
140	109.296791	192.900757
141	132.14537	202.926178
142	194.362961	181.961716
143	201.945236	196.054382
144	202.475189	196.596909
145	194.786514	202.099335
146	202.478363	192.822174
147	200.650558	198.637314
148	202.812607	197.723755
149	208.911667	200.193253
150	128.393204	200.391373
151	119.80658	201.531143
152	97.377739	207.198639
153	208.172775	197.274689
154	204.645996	204.514145
155	199.56044	201.890793
156	207.523239	204.969009
157	204.667953	204.952118
158	208.413651	207.690216
159	210.416153	198.369934
160	152.344055	200.897079
161	181.201355	205.053055
162	201.476807	173.259552
163	210.683823	104.962891
164	210.516876	154.513229
165	205.513855	201.550873
166	214.919067	211.768433
167	197.828308	200.380234
168	207.738831	205.23291
169	202.895874	211.3918
170	95.85244	206.68367
171	147.443985	206.761612
172	212.858856	207.438171
173	212.772751	206.816666
174	119.511078	132.428146
175	75.650414	204.611923
176	106.596588	201.196655
177	115.036934	203.770828
178	112.783913	205.732727
179	135.85231	199.505737
180	162.092987	203.381271
181	153.25116	185.657059
182	94.694618	129.398117
183	145.518326	215.624252
184	75.260902	204.698425
185	88.363037	196.704193
186	146.40329	208.944321
187	77.879036	202.883972
188	117.723038	195.964157
189	148.954376	141.027786
190	149.060181	215.657791
191	101.615067	208.856018
192	127.304001	210.226974
193	110.412308	194.854843
194	151.924606	206.645096
195	112.481979	197.885605
196	114.779617	196.055862
197	171.074677	212.007538
198	208.710007	203.813889
199	160.169098	206.406372
200	97.608948	208.140366
201	135.815125	213.598694
202	122.129364	203.788895
203	135.196609	202.16217
204	217.704269	214.503586
205	122.056152	207.828384
206	189.188385	207.534653
207	216.740997	214.432312
208	211.353317	176.253021
209	203.625031	100.008858
210	219.741028	61.444683
211	219.680023	64.188248
212	219.475128	65.610878
213	210.521362	182.388992
214	157.169434	205.745972
215	135.918777	216.152496
216	207.856964	204.878662
217	208.31105	209.277817
218	216.200394	216.923843
219	207.373688	198.345306
220	192.718628	217.82341
221	198.908966	201.841858
222	211.329361	196.40863
223	220.252777	87.125084
224	207.130981	77.280205
225	220.586243	215.572998
226	218.024094	201.868805
227	163.865524	207.406372
228	208.15715	215.210464
229	221.235916	214.697113
230	213.008987	215.910477
231	206.056534	218.711197
232	218.415085	140.826721
233	220.035995	108.274017
234	220.852951	178.12648
235	224.94783	215.786346
236	215.089615	216.826294
237	219.228485	211.085144
238	209.831131	208.617477
239	221.793961	212.126144
240	214.539246	214.869522
241	219.308578	196.836777
242	218.00087	210.674957
243	203.901093	212.82254
244	139.734848	218.370453
245	212.464752	201.891281
246	211.172028	211.222137
247	216.2659	207.773819
248	216.759903	213.230438
249	207.358704	202.085587
250	185.127289	218.068726
251	84.774948	217.071625
252	214.452454	214.248566
253	218.583969	213.762527
254	211.170959	217.445663
255	213.311096	164.581909
256	211.520523	90.934601
257	128.500824	102.19709
258	88.010353	90.13636
259	91.498001	63.136696
260	214.085754	70.259941
261	220.283722	104.472328
262	219.105942	211.413773
263	224.349823	225.99884
264	218.591232	205.998093
265	217.832886	188.300919
266	228.032639	136.723602
267	151.431076	143.609314
268	98.613022	149.176895
269	106.445267	218.945389
270	144.399887	218.64621
271	107.239624	223.22728
272	154.017334	218.930969
273	130.774536	222.211685
274	191.134323	224.020004
275	162.449738	164.129471
276	200.657166	178.966522
277	82.547836	202.406555
278	149.281021	111.366814
279	230.278809	158.119598
280	222.843018	197.890503
281	121.818634	150.576614
282	97.863655	86.844658
283	167.379745	154.061813
284	227.852081	92.451782
285	227.418137	98.943031
286	134.258804	209.887833
287	178.561462	220.866913
288	229.110718	223.765579
289	146.283295	160.123917
290	230.501694	197.693466
291	185.818787	218.319153
292	125.864738	220.664581
293	89.170479	209.023071
294	112.745445	231.618332
295	187.328186	226.184845
296	220.751831	212.960175
297	227.996841	200.816879
298	225.836853	158.287949
299	227.901291	227.70488
300	227.113983	222.644592
301	220.199448	218.995117
302	219.678879	231.047058
303	150.798309	225.868774
304	230.455948	231.511581
305	163.849838	225.628494
306	141.482986	225.294296
307	95.91774	227.730698
308	130.516586	219.14386
309	162.330444	224.202759
310	226.962509	228.376404
311	134.343857	228.904404
312	98.918938	173.124924
313	105.195045	108.520508
314	185.150482	221.21434
315	228.156052	225.33696
316	227.050201	221.576614
317	133.080261	232.912888
318	209.716766	117.111282
319	189.31636	100.622345
320	122.665352	150.852341
321	108.581612	223.056198
322	83.94297	218.716049
323	177.596161	215.826599
324	222.114899	217.207642
325	179.733704	219.035858
326	171.975327	215.072388
327	226.143997	223.537354
328	112.59597	208.112732
329	225.779404	215.466125
330	214.154495	169.629517
331	189.050125	163.551636
332	154.930084	158.369751
333	231.226654	150.054138
334	219.630554	165.732651
335	212.333405	216.796875
336	229.496506	226.363373
337	221.765076	218.295868
338	206.377563	161.988205
339	157.582703	137.072906
340	144.706024	93.461098
341	148.837173	84.944725
342	158.261063	92.292015
343	233.369537	220.628159
344	101.008942	215.284744
345	86.844841	222.237595
346	152.758942	228.790466
347	121.674324	215.677048
348	153.750351	138.292496
349	204.163361	221.278091
350	213.487656	161.366394
351	229.398453	121.383507
352	222.300751	89.719193
353	217.756393	82.112511
354	232.287277	76.653465
355	161.423065	126.820297
356	147.612625	231.751114
357	131.298431	211.888519
358	80.437408	222.078598
359	80.706741	214.98613
360	104.514755	173.92746
361	120.112572	166.557037
362	104.095779	213.72998
