#MPI_Send				
#size[kB]	latency[ms]	bandwidth[Mb/s]	latency mavg	b mavg
1	0.403289	19.371977	0.973976	77.7325259
2	0.690356	22.633249	1.017206	83.2420597
3	0.698462	33.559143	1.0493651	88.56102135
4	0.69658	44.862015	1.0833785	93.4026603
5	0.766219	50.980873	1.11683775	98.0345855
6	0.777402	60.320591	1.15117665	102.2164218
7	0.830302	65.903229	1.1850471	106.1965684
8	0.898259	69.579071	1.22003505	109.7992295
9	1.300047	54.121563	1.25288785	113.3663735
10	0.901449	86.666023	1.2671113	117.8116572
11	0.922785	93.219444	1.3018764	120.82465275
12	1.034379	90.669518	1.333957	123.91184795
13	1.085515	93.643913	1.3639023	127.03165955
14	1.096385	99.818184	1.39384655	130.00989405
15	1.072829	109.339027	1.423857	132.85175615
16	1.148186	108.867355	1.4544943	135.5117808
17	1.412495	94.082008	1.48412705	138.1590472
18	1.22213	115.245544	1.50148075	141.69148395
19	1.235013	120.402679	1.5291328	144.3058028
20	1.287438	121.365112	1.5581482	146.69584875
21	1.267889	129.562653	1.5854083	149.15354605
22	1.333538	129.012482	1.61586485	151.2337981
23	1.37873	130.391922	1.64384435	153.4782576
24	1.365765	137.500519	1.67350325	155.48173815
25	1.452997	134.617599	1.7059924	157.1609038
26	1.454811	139.923523	1.7342591	159.1605773
27	1.530061	137.956451	1.76241625	161.093254
28	1.555315	140.921951	1.78824035	163.20241385
29	1.584516	143.027237	1.81301965	165.3129455
30	1.596751	146.925934	1.8397157	167.2393928
31	1.564397	154.963348	1.8704289	168.7613525
32	1.633285	153.06575	1.90389605	169.96677855
33	1.6844	153.208603	1.9357856	171.2996132
34	1.696594	156.655426	1.96663765	172.6445793
35	1.685575	162.53952	1.99969445	173.7882469
36	1.740841	161.812683	2.03239255	174.8534195
37	1.759569	164.730743	2.0643395	175.99810105
38	1.775171	167.531921	2.0973761	176.9944504
39	1.815321	168.203598	2.1331397	177.74364855
40	1.83264	170.519058	2.16503175	178.758606
41	1.87702	171.167694	2.1983662	179.64694295
42	1.893128	173.901672	2.23041165	180.60117725
43	1.971908	170.461533	2.2650107	181.283812
44	2.015548	171.083832	2.2940079	182.43659595
45	2.018331	174.611069	2.3233186	183.49127655
46	2.017954	178.577057	2.3535495	184.47410505
47	2.046543	180.139648	2.3850805	185.28878095
48	2.050901	183.132584	2.41622705	186.13984145
49	2.118437	181.556183	2.44663435	187.01186595
50	2.211015	177.365128	2.47507065	187.9918876
51	2.23374	179.071869	2.50243875	189.05601495
52	2.271076	179.722443	2.5272545	190.27722695
53	2.301441	180.107925	2.5520468	191.47173835
54	2.35773	179.528778	2.57741545	192.6384025
55	2.339537	183.842972	2.6001369	193.96917035
56	2.37978	184.706314	2.6286185	194.88704295
57	2.420301	184.65773	2.652997	196.062297
58	2.490443	182.515884	2.67723045	197.26085505
59	2.453162	188.502747	2.69894845	198.5748596
60	2.499329	188.285797	2.72172095	199.81039045
61	2.517929	190.25238	2.74577485	200.88124465
62	2.585109	187.554367	2.7707177	201.8917557
63	2.551852	193.517212	2.7931824	203.14481435
64	2.601762	192.177444	2.82138055	203.90613485
65	2.622949	194.267639	2.8431238	205.18363425
66	2.648574	194.870575	2.86890345	206.0908944
67	2.669474	197.160858	2.8921752	207.1416329
68	2.659047	200.573074	2.91608835	208.14473805
69	2.687163	201.156616	2.9423442	208.94553765
70	2.758377	198.647675	2.97093085	209.56083385
71	2.730055	203.496109	2.99980975	210.23957375
72	2.766922	203.612671	3.0305897	210.7395997
73	2.808814	203.441208	3.06272825	211.12767035
74	2.812159	206.144135	3.09467025	211.50296635
75	2.909169	202.200424	3.12749285	211.8735329
76	2.86735	208.211395	3.15991625	212.2713776
77	2.90497	208.628891	3.19185825	212.62344365
78	2.924803	208.795975	3.2301998	212.567083
79	2.908612	213.213364	3.27324955	212.28671115
80	2.980407	209.702881	3.31663985	211.9095833
81	3.016786	210.462601	3.35637585	211.81235125
82	3.034403	212.61554	3.40004245	211.4698799
83	3.115815	208.743622	3.4381222	211.3765159
84	3.036627	217.727432	3.4723001	211.5737304
85	3.138542	212.412842	3.5189611	210.968946
86	3.114009	215.885345	3.55690615	210.92885885
87	3.147737	217.222961	3.60648385	210.2834228
88	3.184164	216.589066	3.6446533	210.187783
89	3.258896	213.46254	3.68678335	209.9259162
90	3.335955	212.222473	3.72388685	210.00288075
91	3.345654	213.496628	3.7572005	210.13846045
92	3.409693	211.374084	3.7927559	210.181108
93	3.447654	210.947128	3.8243889	210.48628
94	3.468611	213.555466	3.8554767	210.8605163
95	3.557637	210.157318	3.88641415	211.17855065
96	3.50619	215.252716	3.91624685	211.4893348
97	3.671801	207.501678	3.94654235	211.7805511
98	3.785798	203.188538	3.9718914	212.40795895
99	3.776418	205.670807	3.99368525	213.26587215
100	3.775127	207.75824	4.0172882	213.9301658
101	3.890118	203.613174	4.0415472	214.58812935
102	3.795998	210.74826	4.0601157	215.5817474
103	3.799373	212.687912	4.0838682	216.3279289
104	3.969847	205.631744	4.11722495	216.4833435
105	3.897443	211.611099	4.1365588	217.39886855
106	4.105563	202.976624	4.16804655	217.72632295
107	3.911126	215.310165	4.2023579	217.88318555
108	4.026765	211.35173	4.25796035	217.07154005
109	4.000966	215.001831	5.12072015	208.85336115
110	4.002228	214.934067	5.46180855	202.7816544
111	4.056762	214.349579	5.5426921	201.16003575
112	4.042353	217.477524	5.6293131	199.3008118
113	4.06941	218.431854	5.70824095	197.66886445
114	4.08736	219.916153	5.7769146	196.41707005
115	4.154291	216.373001	5.8424973	195.16963125
116	4.1121	221.077042	5.90089145	194.37194985
117	4.178782	220.049835	5.9661519	193.16308445
118	4.221675	220.346802	6.02205605	192.3655068
119	4.248477	218.95668	6.08578305	191.18294455
120	4.260307	220.917511	6.16568455	189.6072915
121	4.261488	223.485535	6.45400615	184.0262555
122	4.271048	225.67189	6.6613442	179.45924725
123	4.466508	215.796204	6.73362585	177.8938008
124	4.356524	223.942245	6.7892772	177.2012524
125	4.527198	218.160187	6.84969755	176.1278996
126	4.79179	206.113876	6.9166991	174.95921595
127	5.023175	199.077255	6.9593267	174.7774403
128	21.281961	46.988152	6.99708325	174.85610545
129	10.822734	93.567696	6.21882055	182.6473282
130	5.619899	182.501694	5.95925515	188.41452675
131	5.789182	177.1651	6.13641165	185.70910225
132	5.62091	184.838577	6.3452682	182.84117625
133	5.442883	193.395966	6.67731445	178.46813435
134	5.399014	194.967377	6.6963038	179.2069748
135	5.322174	200.419373	6.72250385	179.69090575
